DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-01-01 00:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4440.2	2022-01-02 03:00:55
2022-01-01 01:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4479.93	2022-01-02 03:00:55
2022-01-01 02:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4423.58	2022-01-02 03:00:55
2022-01-01 03:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4386.05	2022-01-02 03:00:55
2022-01-01 00:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2422.28	2022-01-02 03:00:55
2022-01-01 01:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2360.06	2022-01-02 03:00:55
2022-01-01 02:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2400.26	2022-01-02 03:00:55
2022-01-01 03:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2361.18	2022-01-02 03:00:55
2022-01-01 00:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10583.0	2022-02-10 07:16:12
2022-01-01 01:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10054.0	2022-02-10 07:16:12
2022-01-01 02:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	9573.0	2022-01-02 07:15:50
2022-01-01 03:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	9402.0	2022-02-10 07:16:12
2022-01-01 00:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1676.0	2022-01-03 10:01:19
2022-01-01 01:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1579.0	2022-01-04 14:00:52
2022-01-01 02:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1503.0	2022-01-01 04:45:47
2022-01-01 03:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1462.0	2022-01-04 14:00:52
2022-01-01 00:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	4462.0	2022-01-01 03:00:51
2022-01-01 01:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	4202.0	2022-01-01 04:00:49
2022-01-01 02:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	4034.0	2022-01-01 05:00:57
2022-01-01 03:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	3991.0	2022-01-01 06:00:55
2022-01-01 01:15:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7199.26	2022-03-05 09:16:12
2022-01-01 01:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7162.67	2022-03-05 09:16:12
2022-01-01 01:45:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7083.56	2022-03-05 09:16:12
2022-01-01 02:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7016.43	2022-03-05 09:16:12
2022-01-01 02:15:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7026.58	2022-03-05 09:16:12
2022-01-01 02:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7013.78	2022-03-05 09:16:12
2022-01-01 02:45:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	6975.85	2022-03-05 09:16:12
2022-01-01 03:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	6957.55	2022-03-05 09:16:12
2022-01-01 03:15:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	6956.04	2022-03-05 09:16:12
2022-01-01 03:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	6974.37	2022-03-05 09:16:12
2022-01-01 03:45:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	6965.81	2022-03-05 09:16:12
2022-01-01 00:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7842.55	2022-03-05 09:16:12
2022-01-01 00:15:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7711.5	2022-03-05 09:16:12
2022-01-01 00:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7627.31	2022-03-05 09:16:12
2022-01-01 00:45:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7453.07	2022-03-05 09:16:12
2022-01-01 01:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7300.43	2022-03-05 09:16:12
2022-01-01 00:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	980.86	2022-01-01 02:45:45
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	887.42	2022-01-01 03:45:46
2022-01-01 02:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	876.31	2022-01-01 04:45:48
2022-01-01 03:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	885.82	2022-01-01 05:45:45
2022-01-01 00:00:00.000	PT60M	10Y1001A1001A990	CTA	MD CTA	MD	526.0	2022-01-01 02:15:46
