DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-01-01 00:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	4462.0	2022-01-01 03:00:51
2022-01-01 00:00:00.000	PT60M	10Y1001A1001A39I	CTY	EE CTY	EE	874.3	2022-01-01 02:16:04
2022-01-01 00:00:00.000	PT30M	10YCY-1001A0003J	CTY	CY CTY	CY	422.27	2022-01-01 01:45:51
2022-01-01 00:30:00.000	PT30M	10YCY-1001A0003J	CTY	CY CTY	CY	399.78	2022-01-01 02:16:04
2022-01-01 00:00:00.000	PT15M	10YAL-KESH-----5	CTY	AL CTY	AL	181.0	2022-01-13 08:31:01
2022-01-01 00:15:00.000	PT15M	10YAL-KESH-----5	CTY	AL CTY	AL	181.0	2022-01-13 08:31:01
2022-01-01 00:30:00.000	PT15M	10YAL-KESH-----5	CTY	AL CTY	AL	181.0	2022-01-13 08:31:01
2022-01-01 00:45:00.000	PT15M	10YAL-KESH-----5	CTY	AL CTY	AL	181.0	2022-01-13 08:31:01
2022-01-01 00:00:00.000	PT30M	10YIE-1001A00010	CTY	IE CTY	IE	3130.07	2022-01-01 03:15:48
2022-01-01 00:30:00.000	PT30M	10YIE-1001A00010	CTY	IE CTY	IE	3088.97	2022-01-01 03:15:48
2022-01-01 00:00:00.000	PT15M	10YRO-TEL------P	CTY	RO CTY	RO	5704.0	2022-01-01 01:30:51
2022-01-01 00:15:00.000	PT15M	10YRO-TEL------P	CTY	RO CTY	RO	5641.0	2022-01-01 01:45:51
2022-01-01 00:30:00.000	PT15M	10YRO-TEL------P	CTY	RO CTY	RO	5594.0	2022-01-01 02:00:55
2022-01-01 00:45:00.000	PT15M	10YRO-TEL------P	CTY	RO CTY	RO	5549.0	2022-01-01 02:16:00
2022-01-01 00:00:00.000	PT60M	10YNO-0--------C	CTY	NO CTY	NO	17017.33	2022-01-02 03:00:55
2022-01-01 00:00:00.000	PT60M	10YLT-1001A0008Q	CTY	LT CTY	LT	1174.91	2022-01-01 02:15:58
2022-01-01 00:00:00.000	PT60M	10YFI-1--------U	CTY	FI CTY	FI	9772.8	2022-01-01 02:15:45
2022-01-01 00:00:00.000	PT60M	10Y1001A1001A990	CTY	MD CTY	MD	526.0	2022-01-01 02:15:46
2022-01-01 00:00:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	4254.23	2022-01-01 01:30:52
2022-01-01 00:15:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	4211.19	2022-01-01 01:45:50
2022-01-01 00:30:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	4154.98	2022-01-01 02:00:56
2022-01-01 00:45:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	4086.52	2022-01-01 02:16:00
2022-01-01 00:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	20827.0	2022-01-01 02:30:46
2022-01-01 00:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	21121.0	2022-02-10 07:16:15
2022-01-01 00:00:00.000	PT60M	10YFR-RTE------C	CTY	FR CTY	FR	51654.0	2022-01-01 02:45:46
2022-01-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTY	SI CTY	SI	1127.41	2022-01-01 03:00:52
2022-01-01 00:00:00.000	PT60M	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	7363.64	2022-01-01 02:15:50
2022-01-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	4174.0	2022-01-02 08:01:03
2022-01-01 00:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	10326.48	2022-01-29 01:46:03
2022-01-01 00:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	10331.75	2022-01-29 02:01:09
2022-01-01 00:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	10223.21	2022-01-29 02:16:23
2022-01-01 00:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	10118.23	2022-01-29 02:31:08
2022-01-01 00:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	14438.25	2022-01-01 08:30:55
2022-01-01 00:00:00.000	PT60M	10YSK-SEPS-----K	CTY	SK CTY	SK	2650.0	2022-01-01 02:15:57
2022-01-01 00:00:00.000	PT60M	10YBA-JPCC-----D	CTY	BA CTY	BA	980.86	2022-01-01 02:45:45
2022-01-01 00:00:00.000	PT60M	10Y1001A1001B012	CTY	GE CTY	GE	1626.51	2022-01-01 02:15:56
2022-01-01 00:00:00.000	PT60M	10Y1001A1001A65H	CTY	DK CTY	DK	3314.22	2022-01-01 03:00:50
2022-01-01 00:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	667.0	2022-01-01 02:15:49
2022-01-01 00:00:00.000	PT60M	10YHR-HEP------M	CTY	HR CTY	HR	1676.0	2022-01-03 10:01:20
2022-01-01 00:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	7842.55	2022-03-05 09:16:13
2022-01-01 00:15:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	7711.5	2022-03-05 09:16:13
2022-01-01 00:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	7627.31	2022-03-05 09:16:13
