DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-01-01 09:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Waste	419.12	1.25	2022-01-29 11:18:41
2022-01-01 09:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Waste	412.12	1.12	2022-01-29 11:18:41
2022-01-01 09:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Solar	7.21	0.0	2022-01-29 11:18:43
2022-01-01 09:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Solar	10.94	0.0	2022-01-29 11:18:43
2022-01-01 09:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Offshore	1805.68	18.2	2022-01-29 11:18:32
2022-01-01 09:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Offshore	1848.28	18.59	2022-01-29 11:18:32
2022-01-01 09:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Nuclear	484.72	0.0	2022-01-29 11:18:44
2022-01-01 09:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Nuclear	484.69	0.0	2022-01-29 11:18:44
2022-01-01 09:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Hard coal	1729.62	1.65	2022-01-29 11:18:51
2022-01-01 09:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Hard coal	1726.42	1.97	2022-01-29 11:18:51
2022-01-01 09:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Biomass	21.0	0.0	2022-01-29 11:18:49
2022-01-01 09:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Biomass	21.06	0.0	2022-01-29 11:18:49
2022-01-01 09:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Gas	1473.63	171.89	2022-01-29 11:18:40
2022-01-01 09:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Gas	1563.77	169.12	2022-01-29 11:18:40
2022-01-01 09:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 18:01:59
2022-01-01 09:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 18:01:59
2022-01-01 09:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Onshore	1134.59	0.01	2022-01-29 11:18:48
2022-01-01 09:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Onshore	1203.65	0.03	2022-01-29 11:18:48
2022-01-01 08:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Nuclear	484.93	0.0	2022-01-29 10:43:15
2022-01-01 08:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Onshore	1075.5	0.03	2022-01-29 10:27:09
2022-01-01 08:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Onshore	1098.44	0.02	2022-01-29 10:43:21
2022-01-01 08:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Gas	1640.51	172.85	2022-01-29 10:27:19
2022-01-01 08:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Gas	1486.99	170.82	2022-01-29 10:43:18
2022-01-01 08:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Waste	413.25	1.12	2022-01-29 10:27:15
2022-01-01 08:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Waste	417.04	1.12	2022-01-29 10:43:16
2022-01-01 08:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Hard coal	1729.82	1.53	2022-01-29 10:27:14
2022-01-01 08:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Hard coal	1730.14	1.54	2022-01-29 10:43:19
2022-01-01 08:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 18:02:36
2022-01-01 08:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 18:02:36
2022-01-01 08:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Offshore	1527.18	12.27	2022-01-29 10:27:17
2022-01-01 08:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Offshore	1716.65	3.32	2022-01-29 10:43:20
2022-01-01 08:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Solar	3.83	0.0	2022-01-29 10:27:18
2022-01-01 08:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Solar	4.94	0.0	2022-01-29 10:43:21
2022-01-01 08:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Biomass	20.99	0.0	2022-01-29 10:27:15
2022-01-01 08:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Biomass	20.86	0.0	2022-01-29 10:43:14
2022-01-01 08:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Hard coal	1729.17	2.0	2022-01-29 10:02:04
2022-01-01 08:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Hard coal	1727.45	2.34	2022-01-29 10:27:14
2022-01-01 08:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Onshore	1163.61	0.02	2022-01-29 10:02:09
2022-01-01 08:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Onshore	1104.31	0.01	2022-01-29 10:27:09
2022-01-01 08:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Offshore	1379.53	11.44	2022-01-29 10:02:10
