DateTime	ResolutionCode	OutAreaCode	OutAreaTypeCode	OutAreaName	OutMapCode	InAreaCode	InAreaTypeCode	InAreaName	InMapCode	FlowValue	UpdateTime
2022-01-01 00:00:00.000	PT15M	10YSI-ELES-----O	CTY	SI CTY	SI	10YAT-APG------L	CTY	AT CTY	AT	38.68	2022-01-01 01:45:57
2022-01-01 00:00:00.000	PT15M	10YRO-TEL------P	CTY	RO CTY	RO	10YHU-MAVIR----U	CTY	HU CTY	HU	0.0	2022-01-01 01:30:52
2022-01-01 00:00:00.000	PT15M	10YLU-CEGEDEL-NQ	CTY	LU CTY	LU	10Y1001A1001A83F	CTY	DE CTY	DE	0.0	2022-01-01 01:31:01
2022-01-01 00:00:00.000	PT15M	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	10Y1001A1001A83F	CTY	DE CTY	DE	0.0	2022-01-01 01:31:08
2022-01-01 00:00:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	10YAT-APG------L	CTY	AT CTY	AT	0.0	2022-01-01 01:31:23
2022-01-01 00:15:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	10Y1001A1001A83F	CTY	DE CTY	DE	0.0	2022-01-01 01:34:11
2022-01-01 00:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	10Y1001A1001A83F	CTY	DE CTY	DE	540.07	2022-01-01 01:34:17
2022-01-01 00:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	10Y1001A1001A83F	CTY	DE CTY	DE	557.91	2022-01-10 17:46:54
2022-01-01 00:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YNL----------L	CTY	NL CTY	NL	1325.48	2022-01-09 17:45:48
2022-01-01 00:15:00.000	PT15M	10YSI-ELES-----O	CTY	SI CTY	SI	10YAT-APG------L	CTY	AT CTY	AT	38.2	2022-01-01 02:01:13
2022-01-01 00:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YAT-APG------L	CTY	AT CTY	AT	1822.83	2022-01-09 17:45:47
2022-01-01 00:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	3251.25	2022-01-01 01:46:04
2022-01-01 00:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YNO-0--------C	CTY	NO CTY	NO	1360.61	2022-01-09 17:45:50
2022-01-01 00:15:00.000	PT15M	10YRO-TEL------P	CTY	RO CTY	RO	10YHU-MAVIR----U	CTY	HU CTY	HU	0.0	2022-01-01 01:47:52
2022-01-01 00:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	10YHU-MAVIR----U	CTY	HU CTY	HU	525.13	2022-01-01 01:47:52
2022-01-01 00:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YLU-CEGEDEL-NQ	CTY	LU CTY	LU	452.9	2022-01-01 01:47:55
2022-01-01 00:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YBE----------2	CTY	BE CTY	BE	221.26	2022-01-21 05:34:40
2022-01-01 00:00:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	10YRO-TEL------P	CTY	RO CTY	RO	88.73	2022-01-01 01:30:52
2022-01-01 00:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YLU-CEGEDEL-NQ	CTY	LU CTY	LU	448.87	2022-01-01 01:30:53
2022-01-01 00:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YBE----------2	CTY	BE CTY	BE	160.74	2022-01-21 05:34:40
2022-01-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTY	SI CTY	SI	10YHR-HEP------M	CTY	HR CTY	HR	0.0	2022-01-01 01:34:11
2022-01-01 00:00:00.000	PT60M	10YHR-HEP------M	CTY	HR CTY	HR	10YCS-SERBIATSOV	CTY	RS CTY	RS	14.0	2022-01-01 02:24:11
2022-01-01 00:00:00.000	PT15M	10YNO-0--------C	CTY	NO CTY	NO	10Y1001A1001A83F	CTY	DE CTY	DE	0.0	2022-01-01 01:46:01
2022-01-01 00:30:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YBE----------2	CTY	BE CTY	BE	201.04	2022-01-21 05:34:40
2022-01-01 00:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10Y1001A1001A65H	CTY	DK CTY	DK	1142.08	2022-01-09 17:45:46
2022-01-01 00:30:00.000	PT15M	10YRO-TEL------P	CTY	RO CTY	RO	10YHU-MAVIR----U	CTY	HU CTY	HU	0.0	2022-01-01 02:03:10
