DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-01-01 05:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4389.71	2022-01-02 03:00:55
2022-01-01 06:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4407.69	2022-01-02 03:00:55
2022-01-01 07:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4468.4	2022-01-02 03:00:55
2022-01-01 08:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4525.46	2022-01-02 03:00:55
2022-01-01 09:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4507.38	2022-01-02 03:00:55
2022-01-01 10:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4637.37	2022-01-02 03:00:55
2022-01-01 00:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4440.2	2022-01-02 03:00:55
2022-01-01 01:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4479.93	2022-01-02 03:00:55
2022-01-01 02:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4423.58	2022-01-02 03:00:55
2022-01-01 03:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4386.05	2022-01-02 03:00:55
2022-01-01 04:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4374.64	2022-01-02 03:00:55
2022-01-01 05:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2355.7	2022-01-02 03:00:55
2022-01-01 06:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2337.23	2022-01-02 03:00:55
2022-01-01 07:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2437.24	2022-01-02 03:00:55
2022-01-01 08:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2453.27	2022-01-02 03:00:55
2022-01-01 09:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2440.92	2022-01-02 03:00:55
2022-01-01 10:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2486.14	2022-01-02 03:00:55
2022-01-01 00:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2422.28	2022-01-02 03:00:55
2022-01-01 01:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2360.06	2022-01-02 03:00:55
2022-01-01 02:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2400.26	2022-01-02 03:00:55
2022-01-01 03:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2361.18	2022-01-02 03:00:55
2022-01-01 04:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2373.97	2022-01-02 03:00:55
2022-01-01 05:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10212.0	2022-02-10 07:16:12
2022-01-01 06:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10563.0	2022-02-10 07:16:12
2022-01-01 07:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10544.0	2022-02-10 07:16:12
2022-01-01 08:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10833.0	2022-02-10 07:16:12
2022-01-01 09:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	11169.0	2022-02-10 07:16:12
2022-01-01 10:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	11405.0	2022-02-10 07:16:12
2022-01-01 00:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10583.0	2022-02-10 07:16:12
2022-01-01 01:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10054.0	2022-02-10 07:16:12
2022-01-01 02:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	9573.0	2022-01-02 07:15:50
2022-01-01 03:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	9402.0	2022-02-10 07:16:12
2022-01-01 04:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	9689.0	2022-02-10 07:16:12
2022-01-01 05:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1512.0	2022-01-04 16:16:10
2022-01-01 06:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1528.0	2022-01-04 14:00:52
2022-01-01 07:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1634.0	2022-01-03 10:01:19
2022-01-01 08:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1797.0	2022-01-03 10:01:19
2022-01-01 09:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1913.0	2022-01-04 16:16:10
2022-01-01 10:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1969.0	2022-01-01 12:45:48
2022-01-01 00:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1676.0	2022-01-03 10:01:19
2022-01-01 01:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1579.0	2022-01-04 14:00:52
2022-01-01 02:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1503.0	2022-01-01 04:45:47
2022-01-01 03:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1462.0	2022-01-04 14:00:52
2022-01-01 04:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1466.0	2022-01-04 16:16:10
2022-01-01 05:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	4208.0	2022-01-01 08:00:56
2022-01-01 06:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	4429.0	2022-01-01 09:00:55
2022-01-01 07:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	4900.0	2022-01-01 10:01:03
2022-01-01 08:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	5363.0	2022-01-01 11:00:54
2022-01-01 09:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	5570.0	2022-01-01 12:01:02
2022-01-01 10:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	5697.0	2022-01-01 13:00:53
2022-01-01 00:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	4462.0	2022-01-01 03:00:51
2022-01-01 01:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	4202.0	2022-01-01 04:00:49
2022-01-01 02:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	4034.0	2022-01-01 05:00:57
2022-01-01 03:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	3991.0	2022-01-01 06:00:55
2022-01-01 04:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	4067.0	2022-01-01 07:00:52
2022-01-01 10:15:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	8021.45	2022-03-05 09:16:12
2022-01-01 10:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	8019.57	2022-03-05 09:16:12
2022-01-01 10:45:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	8054.32	2022-03-05 09:16:12
2022-01-01 04:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7006.99	2022-03-05 09:16:12
2022-01-01 04:15:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	6990.81	2022-03-05 09:16:12
2022-01-01 04:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7033.67	2022-03-05 09:16:12
2022-01-01 04:45:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7105.68	2022-03-05 09:16:12
2022-01-01 05:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7213.38	2022-03-05 09:16:12
2022-01-01 05:15:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7217.11	2022-03-05 09:16:12
2022-01-01 05:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7218.73	2022-03-05 09:16:12
2022-01-01 05:45:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7211.38	2022-03-05 09:16:12
2022-01-01 06:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7180.28	2022-03-05 09:16:12
2022-01-01 06:15:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7174.82	2022-03-05 09:16:12
2022-01-01 06:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7195.0	2022-03-05 09:16:12
2022-01-01 06:45:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7176.73	2022-03-05 09:16:12
2022-01-01 07:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7253.67	2022-03-05 09:16:12
2022-01-01 07:15:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7386.35	2022-03-05 09:16:12
2022-01-01 07:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7323.38	2022-03-05 09:16:12
2022-01-01 07:45:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7330.29	2022-03-05 09:16:12
2022-01-01 08:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7430.0	2022-03-05 09:16:12
2022-01-01 08:15:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7537.92	2022-03-05 09:16:12
2022-01-01 08:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7642.74	2022-03-05 09:16:12
2022-01-01 08:45:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7714.57	2022-03-05 09:16:12
2022-01-01 09:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7878.24	2022-03-05 09:16:12
2022-01-01 09:15:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7962.14	2022-03-05 09:16:12
2022-01-01 09:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7964.85	2022-03-05 09:16:12
2022-01-01 09:45:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7966.91	2022-03-05 09:16:12
2022-01-01 10:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7957.81	2022-03-05 09:16:12
2022-01-01 01:15:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7199.26	2022-03-05 09:16:12
2022-01-01 01:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7162.67	2022-03-05 09:16:12
2022-01-01 01:45:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7083.56	2022-03-05 09:16:12
2022-01-01 02:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7016.43	2022-03-05 09:16:12
2022-01-01 02:15:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7026.58	2022-03-05 09:16:12
2022-01-01 02:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	7013.78	2022-03-05 09:16:12
2022-01-01 02:45:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	6975.85	2022-03-05 09:16:12
2022-01-01 03:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	6957.55	2022-03-05 09:16:12
2022-01-01 03:15:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	6956.04	2022-03-05 09:16:12
2022-01-01 03:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	6974.37	2022-03-05 09:16:12
2022-01-01 03:45:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	6965.81	2022-03-05 09:16:12
