DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-01-01 02:00:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Wind Onshore	487.0	0.0	2022-01-02 00:04:07
2022-01-01 02:00:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Solar	0.0	0.0	2022-01-01 03:24:17
2022-01-01 02:00:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Fossil Oil	0.0		2022-01-01 03:26:01
2022-01-01 02:00:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Hydro Water Reservoir	9.39		2022-01-01 03:26:02
2022-01-01 02:00:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Nuclear	1304.36		2022-01-01 03:26:02
2022-01-01 02:00:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Other	114.0		2022-01-01 03:26:03
2022-01-01 02:00:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Biomass	603.0		2022-01-01 03:26:03
2022-01-01 02:00:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Hydro Run-of-river and poundage	534.4		2022-01-01 03:26:04
2022-01-01 02:00:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Waste	50.0		2022-01-01 03:26:04
2022-01-01 02:00:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Hydro Pumped Storage	190.66	601.62	2022-01-01 03:26:05
2022-01-01 02:00:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Other renewable	12.0		2022-01-01 03:26:05
2022-01-01 02:00:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Fossil Hard coal	151.89		2022-01-01 03:26:06
2022-01-01 02:00:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Fossil Gas	186.91		2022-01-01 03:26:06
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	CTA	RO CTA	RO	Wind Onshore	730.0		2022-01-01 03:28:25
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	CTA	RO CTA	RO	Nuclear	1421.0		2022-01-01 03:28:26
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	CTA	RO CTA	RO	Fossil Gas	1232.0		2022-01-01 03:28:26
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	CTA	RO CTA	RO	Fossil Brown coal/Lignite	991.0		2022-01-01 03:28:27
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	CTA	RO CTA	RO	Hydro Water Reservoir	254.0		2022-01-01 03:28:27
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	CTA	RO CTA	RO	Biomass	57.0		2022-01-01 03:28:27
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	CTA	RO CTA	RO	Solar	0.0		2022-01-01 03:28:28
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	CTA	RO CTA	RO	Fossil Hard coal	46.0		2022-01-01 03:28:28
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	CTA	RO CTA	RO	Hydro Run-of-river and poundage	1487.0		2022-01-01 03:28:28
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	CTY	RO CTY	RO	Fossil Gas	1232.0		2022-01-01 03:28:28
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	Nuclear	1421.0		2022-01-01 03:28:29
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	Fossil Gas	1232.0		2022-01-01 03:28:29
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	CTY	RO CTY	RO	Wind Onshore	730.0		2022-01-01 03:28:29
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	Biomass	57.0		2022-01-01 03:28:29
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	CTY	RO CTY	RO	Fossil Brown coal/Lignite	991.0		2022-01-01 03:28:29
2022-01-01 02:00:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	Fossil Brown coal/Lignite	991.0		2022-01-01 03:28:30
