DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-01-01 16:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4996.59	2022-01-02 03:00:55
2022-01-01 17:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4953.64	2022-01-02 03:00:55
2022-01-01 18:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4914.75	2022-01-02 03:00:55
2022-01-01 19:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4817.2	2022-01-02 03:00:55
2022-01-01 20:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4605.17	2022-01-02 03:00:55
2022-01-01 21:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4502.16	2022-01-02 03:00:55
2022-01-01 22:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4414.09	2022-01-02 03:00:55
2022-01-01 23:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4178.71	2022-01-02 03:00:55
2022-01-02 00:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4070.31	2022-01-02 03:00:56
2022-01-02 01:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4148.16	2022-01-02 04:00:51
2022-01-02 02:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4134.11	2022-01-02 05:00:51
2022-01-02 03:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4045.29	2022-01-02 06:00:55
2022-01-02 04:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4111.22	2022-01-02 07:00:52
2022-01-02 05:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4083.99	2022-01-02 08:00:54
2022-01-02 06:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4183.92	2022-01-02 10:01:04
2022-01-02 07:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4270.15	2022-01-02 12:00:48
2022-01-02 08:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4363.67	2022-01-02 12:00:48
2022-01-01 05:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4389.71	2022-01-02 03:00:55
2022-01-01 06:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4407.69	2022-01-02 03:00:55
2022-01-01 07:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4468.4	2022-01-02 03:00:55
2022-01-01 08:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4525.46	2022-01-02 03:00:55
2022-01-01 09:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4507.38	2022-01-02 03:00:55
2022-01-01 10:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4637.37	2022-01-02 03:00:55
2022-01-01 11:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4723.15	2022-01-02 03:00:55
2022-01-01 12:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4748.37	2022-01-02 03:00:55
2022-01-01 13:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4929.92	2022-01-02 03:00:55
2022-01-01 14:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4964.84	2022-01-02 03:00:55
2022-01-01 15:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	5021.62	2022-01-02 03:00:55
2022-01-01 00:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4440.2	2022-01-02 03:00:55
2022-01-01 01:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4479.93	2022-01-02 03:00:55
2022-01-01 02:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4423.58	2022-01-02 03:00:55
2022-01-01 03:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4386.05	2022-01-02 03:00:55
2022-01-01 04:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4374.64	2022-01-02 03:00:55
2022-01-01 16:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2566.37	2022-01-02 03:00:55
2022-01-01 17:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2549.75	2022-01-02 03:00:55
2022-01-01 18:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2578.3	2022-01-02 03:00:55
2022-01-01 19:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2567.49	2022-01-02 03:00:55
2022-01-01 20:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2526.8	2022-01-02 03:00:55
2022-01-01 21:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2539.61	2022-01-02 03:00:55
2022-01-01 22:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2399.54	2022-01-02 03:00:55
