DateTime	ResolutionCode	OutAreaCode	OutAreaTypeCode	OutAreaName	OutMapCode	InAreaCode	InAreaTypeCode	InAreaName	InMapCode	FlowValue	UpdateTime
2022-01-01 09:00:00.000	PT15M	10YSI-ELES-----O	CTY	SI CTY	SI	10YAT-APG------L	CTY	AT CTY	AT	118.52	2022-01-01 10:45:54
2022-01-01 09:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	10YSI-ELES-----O	CTY	SI CTY	SI	70.6	2022-01-01 10:45:54
2022-01-01 09:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YBE----------2	CTY	BE CTY	BE	0.0	2022-01-01 10:23:51
2022-01-01 09:00:00.000	PT15M	10YLU-CEGEDEL-NQ	CTY	LU CTY	LU	10Y1001A1001A83F	CTY	DE CTY	DE	0.0	2022-01-01 10:31:09
2022-01-01 09:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YBE----------2	CTY	BE CTY	BE	0.0	2022-01-01 10:34:16
2022-01-01 09:00:00.000	PT60M	10YHR-HEP------M	CTY	HR CTY	HR	10YBA-JPCC-----D	CTY	BA CTY	BA	0.0	2022-01-01 10:34:26
2022-01-01 09:00:00.000	PT60M	10YHR-HEP------M	CTY	HR CTY	HR	10YCS-SERBIATSOV	CTY	RS CTY	RS	0.0	2022-01-01 10:34:28
2022-01-01 09:15:00.000	PT15M	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	10Y1001A1001A83F	CTY	DE CTY	DE	0.0	2022-01-01 10:45:58
2022-01-01 09:15:00.000	PT15M	10YRO-TEL------P	CTY	RO CTY	RO	10YHU-MAVIR----U	CTY	HU CTY	HU	125.32	2022-01-01 10:48:54
2022-01-01 09:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YLU-CEGEDEL-NQ	CTY	LU CTY	LU	209.19	2022-01-01 10:48:55
2022-01-01 09:00:00.000	PT15M	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	10Y1001A1001A83F	CTY	DE CTY	DE	0.0	2022-01-01 10:31:02
2022-01-01 09:00:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	10YRO-TEL------P	CTY	RO CTY	RO	0.0	2022-01-01 10:31:02
2022-01-01 09:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	10Y1001A1001A83F	CTY	DE CTY	DE	783.79	2022-01-10 17:46:54
2022-01-01 09:00:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	10YAT-APG------L	CTY	AT CTY	AT	0.0	2022-01-01 10:32:50
2022-01-01 09:00:00.000	PT60M	10YHR-HEP------M	CTY	HR CTY	HR	10YHU-MAVIR----U	CTY	HU CTY	HU	0.0	2022-01-01 10:34:26
2022-01-01 09:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	10YHR-HEP------M	CTY	HR CTY	HR	104.0	2022-01-01 11:27:01
2022-01-01 09:15:00.000	PT15M	10YSI-ELES-----O	CTY	SI CTY	SI	10YAT-APG------L	CTY	AT CTY	AT	111.84	2022-01-01 11:02:26
2022-01-01 09:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YAT-APG------L	CTY	AT CTY	AT	1542.4	2022-01-09 17:45:47
2022-01-01 09:00:00.000	PT15M	10Y1001A1001A65H	CTY	DK CTY	DK	10Y1001A1001A83F	CTY	DE CTY	DE	38.4	2022-01-01 10:46:01
2022-01-01 09:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	10Y1001A1001A83F	CTY	DE CTY	DE	1733.69	2022-01-01 10:46:02
2022-01-01 09:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	10YHU-MAVIR----U	CTY	HU CTY	HU	88.99	2022-01-01 10:48:56
2022-01-01 09:15:00.000	PT15M	10YNO-0--------C	CTY	NO CTY	NO	10Y1001A1001A83F	CTY	DE CTY	DE	0.0	2022-01-01 11:01:12
2022-01-01 09:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	10YSI-ELES-----O	CTY	SI CTY	SI	89.4	2022-01-01 11:16:17
2022-01-01 09:30:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YLU-CEGEDEL-NQ	CTY	LU CTY	LU	221.66	2022-01-01 11:02:34
2022-01-01 09:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	10YHU-MAVIR----U	CTY	HU CTY	HU	90.82	2022-01-01 11:02:47
2022-01-01 09:00:00.000	PT60M	10YFR-RTE------C	CTY	FR CTY	FR	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	1630.0	2022-01-01 11:46:18
2022-01-01 09:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	10Y1001A1001A92E	CTY	UK CTY	GB	0.0	2022-01-01 11:03:27
2022-01-01 09:00:00.000	PT60M	10YAT-APG------L	CTY	AT CTY	AT	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	747.09	2022-01-01 11:03:37
2022-01-01 09:00:00.000	PT60M	10YFI-1--------U	CTY	FI CTY	FI	10Y1001A1001A39I	CTY	EE CTY	EE	1005.3	2022-01-01 11:18:49
2022-01-01 09:00:00.000	PT60M	10YNO-0--------C	CTY	NO CTY	NO	10YFI-1--------U	CTY	FI CTY	FI	55.25	2022-01-01 11:03:39
2022-01-01 09:00:00.000	PT60M	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	10YFR-RTE------C	CTY	FR CTY	FR	0.0	2022-01-01 11:03:40
2022-01-01 09:00:00.000	PT60M	10YSE-1--------K	CTY	SE CTY	SE	10YFI-1--------U	CTY	FI CTY	FI	1364.2	2022-01-01 11:03:40
2022-01-01 09:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	10YFR-RTE------C	CTY	FR CTY	FR	763.58	2022-01-21 05:34:14
2022-01-01 09:00:00.000	PT60M	10YIE-1001A00010	CTY	IE CTY	IE	10Y1001A1001A92E	CTY	UK CTY	GB	99.35	2022-01-01 11:03:44
2022-01-01 09:00:00.000	PT60M	10Y1001C--00003F	CTY	UA CTY	UA	10Y1001A1001A990	CTY	MD CTY	MD	3.0	2022-01-01 13:26:35
2022-01-01 09:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	10YNL----------L	CTY	NL CTY	NL	2032.86	2022-01-01 11:15:48
2022-01-01 09:45:00.000	PT15M	10YSI-ELES-----O	CTY	SI CTY	SI	10YAT-APG------L	CTY	AT CTY	AT	86.44	2022-01-01 11:27:03
2022-01-01 09:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	10YSI-ELES-----O	CTY	SI CTY	SI	0.0	2022-01-01 11:16:18
2022-01-01 09:00:00.000	PT60M	10YFR-RTE------C	CTY	FR CTY	FR	10Y1001A1001A83F	CTY	DE CTY	DE	2112.06	2022-01-01 11:16:28
2022-01-01 09:30:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10Y1001A1001A65H	CTY	DK CTY	DK	643.84	2022-01-09 17:45:46
2022-01-01 09:30:00.000	PT15M	10Y1001A1001A65H	CTY	DK CTY	DK	10Y1001A1001A83F	CTY	DE CTY	DE	80.53	2022-01-01 11:17:21
2022-01-01 09:30:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YNO-0--------C	CTY	NO CTY	NO	1399.37	2022-01-09 17:45:50
2022-01-01 09:00:00.000	PT60M	10YRO-TEL------P	CTY	RO CTY	RO	10Y1001C--00003F	CTY	UA CTY	UA	50.5	2022-01-01 11:18:15
2022-01-01 09:00:00.000	PT60M	10YRO-TEL------P	CTY	RO CTY	RO	10YCA-BULGARIA-R	CTY	BG CTY	BG	292.0	2022-01-01 12:19:53
2022-01-01 09:00:00.000	PT60M	10YRO-TEL------P	CTY	RO CTY	RO	10YCS-SERBIATSOV	CTY	RS CTY	RS	286.7	2022-01-01 11:48:50
2022-01-01 09:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	10YAT-APG------L	CTY	AT CTY	AT	0.0	2022-01-01 11:18:42
2022-01-01 09:00:00.000	PT60M	10YSK-SEPS-----K	CTY	SK CTY	SK	10Y1001C--00003F	CTY	UA CTY	UA	0.0	2022-01-01 11:18:52
2022-01-01 09:00:00.000	PT60M	10YNL----------L	CTY	NL CTY	NL	10YNO-0--------C	CTY	NO CTY	NO	729.74	2022-01-01 11:19:21
2022-01-01 09:00:00.000	PT60M	10YNO-0--------C	CTY	NO CTY	NO	10YNL----------L	CTY	NL CTY	NL	0.0	2022-01-01 11:19:31
2022-01-01 09:45:00.000	PT15M	10Y1001A1001A65H	CTY	DK CTY	DK	10Y1001A1001A83F	CTY	DE CTY	DE	58.07	2022-01-01 11:27:52
2022-01-01 09:00:00.000	PT60M	10YFR-RTE------C	CTY	FR CTY	FR	10YES-REE------0	CTY	ES CTY	ES	1840.92	2022-01-01 11:27:55
2022-01-01 09:00:00.000	PT60M	10Y1001A1001A83F	CTY	DE CTY	DE	10YPL-AREA-----S	CTY	PL CTY	PL	379.47	2022-01-01 11:27:57
2022-01-01 09:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	10Y1001A1001A83F	CTY	DE CTY	DE	1000.67	2022-01-21 05:34:40
2022-01-01 09:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	10Y1001A1001A83F	CTY	DE CTY	DE	674.04	2022-01-10 17:46:54
2022-01-01 09:30:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	2372.37	2022-01-01 11:00:57
